name,lat,lon,city,type,address,type_of_place,distance_from_company
Kibele Restaurant & Bar,51.521726,-0.143647,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.521726, -0.143647]}}","175-177 Great Portland St (175-177 Great Portland), London, Greater London, W1W 5PJ",Bar,1.3416908514709545
The Nest,51.51794,-0.142467,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.51794, -0.142467]}}","14-15 Langham Pl (Treehouse Hotel), London, Greater London, W1B 2QS",Bar,1.4008333785796525
The Espresso Bar,51.528615,-0.149079,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.528615, -0.149079]}}","Regents Park (Inner Circle), London, Greater London, NW1 4NR",Bar,1.4040681927188057
The Aviary Bar,51.516943,-0.141791,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.516943, -0.141791]}}","16 Little Portland St, London, Greater London, W1W 8BW",Bar,1.4623302125182855
Bar Remo,51.514691,-0.142518,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.514691, -0.142518]}}","2 Princes St, London, Greater London, W1B 2LB",Bar,1.4780853012116064
Bellaria Restaurant & Wine Bar,51.519242,-0.141218,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.519242, -0.141218]}}","71 Great Titchfield St, London, Greater London, W1W 6RB",Bar,1.4801683909529917
The Dorchester Rooftop,51.507155,-0.152363,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.507155, -0.152363]}}","53 Park Lane, London, Greater London, W1K 1QA",Bar,1.5158974062966377
Annabel's,51.509188,-0.146869,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.509188, -0.146869]}}","44 Hays Mews, London, Greater London, W1J 5QB",Bar,1.557876651186686
Aqua Nueva Rooftop Bar,51.514229,-0.141183,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.514229, -0.141183]}}","240 Regent St, Soho, Greater London, W1B 3BR",Bar,1.5825130342284
The Polo Bar,51.511439,-0.142663,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.511439, -0.142663]}}","37 Conduit St, London, Greater London, W1S 2YF",Bar,1.6281201116035948
sketch - Gallery - Afternoon Tea,51.512779,-0.141757,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.512779, -0.141757]}}","9 Conduit St, London, Greater London, W1S 2XG",Bar,1.6101565122521642
Mr Fogg's Residence,51.509849,-0.144269,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.509849, -0.144269]}}","15 Bruton Lane, Mayfair, Greater London, W1J 6JD",Bar,1.641026814691832
Shakespeares Head,51.513697,-0.139459,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.513697, -0.139459]}}","29 Great Marlborough St (Fouberts Way), Soho, Greater London, W1F 7HZ",Bar,1.7150222631491998
Baku Bistro,51.508707,-0.144414,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.508707, -0.144414]}}","22-24 Lansdowne Row, London, Greater London, W1J 8QJ",Bar,1.716961677368573
London Lux Guestlist,51.519402,-0.158568,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.519402, -0.158568]}}","83-87 Crawford St, London, W1H 2HB",Night Club,0.28055522560381563
Abacus Bar,51.513201,-0.087121,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.513201, -0.087121]}}","24 Cornhill, London, Greater London, EC3V 3ND",Night Club,5.2660332333601945
The Loop Bar,51.514226,-0.145548,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.514226, -0.145548]}}","19 Dering St, London, Greater London, W1S 1AH",Night Club,1.3039568696648622
Tape London,51.514326,-0.144572,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.514326, -0.144572]}}","17 Hanover Square, London, Greater London, W1S 1HU",Night Club,1.3609337023756336
The Social,51.517359,-0.140988,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.517359, -0.140988]}}","5 Little Portland St, London, Greater London, W1W 7JD",Night Club,1.5101108938865988
Maddox Club,51.512702,-0.142262,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.512702, -0.142262]}}","3-5 Mill St, London, Greater London, W1S 2AU",Night Club,1.58281058714325
Drama,51.505525,-0.15001,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.505525, -0.15001]}}","35 Hertford St, London, Greater London, W1J 7SD",Night Club,1.7532662656804554
Cirque le Soir,51.51291,-0.13893,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.51291, -0.13893]}}","15-21 Ganton St, London, Greater London, W1F 9BN",Night Club,1.781797493036529
Maya London,51.515953,-0.133966,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.515953, -0.133966]}}","1a Dean St, London, Greater London, W1D 3RB",Night Club,2.014710283306289
The Cuckoo Club,51.509962,-0.137771,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.509962, -0.137771]}}","99-101 Regent St (Swallow St), London, Greater London, W1B 4EZ",Night Club,2.0026363451737548
The Roxy,51.516596,-0.132935,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.516596, -0.132935]}}","3-5 Rathbone Pl, London, Greater London, W1T 1HJ",Night Club,2.073714560693088
The Office,51.516749,-0.133116,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.516749, -0.133116]}}","3-5 Rathbone Pl, London, W1T 1HJ",Night Club,2.0589862463513087
Tramp,51.508255,-0.13782,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.508255, -0.13782]}}","40 Jermyn St, London, Greater London, SW1Y 6DN",Night Club,2.1036103054597395
The Box,51.512538,-0.134119,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.512538, -0.134119]}}","11-12 Walkers Ct (at Brewer St), London, Greater London, W1F 0ED",Night Club,2.1062407149526674
The Windmill Soho,51.511527,-0.134316,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.511527, -0.134316]}}","London, Greater London, W1D 7LA",Night Club,2.1358999745549974
The Scotch of St James,51.507789,-0.137371,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.507789, -0.137371]}}","13 Masons Yard, London, Greater London, SW1Y 6BU",Night Club,2.1590817707006633
Piccadilly Institute,51.510325,-0.133998,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.510325, -0.133998]}}","The London Pavillion, London, Greater London, W1J 0DA",Night Club,2.21243804994698
Bar Rumba,51.511006,-0.13331,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.511006, -0.13331]}}","36 Shaftesbury Ave, West End, Greater London, W1D 7EP",Night Club,2.2230192514382168
Thirst,51.514243,-0.131159,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.514243, -0.131159]}}","53 Greek St, London, Greater London, W1D 3DR",Night Club,2.2451090924095536
G-A-Y Late,51.515087,-0.130463,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.515087, -0.130463]}}","5 Goslett Yard, Soho, Greater London, WC2H 0ER",Night Club,2.271040103006261
Zebrano,51.514002,-0.130703,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.514002, -0.130703]}}","18 Greek St, Soho, Greater London, W1D 4DS",Night Club,2.2823578481251294
Tiger Tiger,51.509847,-0.13264,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.509847, -0.13264]}}","29 Haymarket, London, Greater London, SW1Y 4SP",Night Club,2.320268907232397
SophistiCats Euston,51.528954,-0.132382,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.528954, -0.132382]}}","38 Eversholt St, London, Greater London, NW1 1DA",Night Club,2.3556172950425895
Ku Bar,51.511822,-0.1297,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.511822, -0.1297]}}","30 Lisle St, London, Greater London, WC2H 7BA",Night Club,2.4207202059957407
Notting Hill Arts Club,51.509377,-0.19445,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.509377, -0.19445]}}","21 Notting Hill Gate, London, Greater London, W11 3JQ",Night Club,2.4593647583492095
Zoo Bar & Club,51.510928,-0.129144,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.510928, -0.129144]}}","13-17 Bear St, London, Greater London, WC2H 7AQ",Night Club,2.4919443229820915
TSQ Club,51.507817,-0.129754,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.507817, -0.129754]}}",,Night Club,2.60245684739621
Electric Ballroom,51.539719,-0.142878,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.539719, -0.142878]}}","184 Camden High St, London, Greater London, NW1 8QP",Night Club,2.658352995364325
Heaven,51.508069,-0.124289,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.508069, -0.124289]}}","Villiers St (Villiers St), Charing Cross, Greater London, WC2N 6NG",Night Club,2.9266501728409047
Sway Bar,51.515651,-0.120595,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.515651, -0.120595]}}","61-65 Great Queen St, London, Greater London, WC2B 5BZ",Night Club,2.9339351782063883
Crush,51.513989,-0.116752,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.513989, -0.116752]}}","Houghton St, London, WC2A 2AE",Night Club,3.225735381799538
The Big Chill House,51.530768,-0.120011,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.530768, -0.120011]}}","257-259 Pentonville Rd, London, Greater London, N1 9NL",Night Club,3.21542493739302
Egg,51.541837,-0.125095,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.541837, -0.125095]}}","200 York Way (at Vale Royal), London, Greater London, N7 9AX",Night Club,3.614976262749837
Raffles,51.485323,-0.173625,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.485323, -0.173625]}}","287 King's Rd, Chelsea, Greater London, SW3 5EW",Night Club,3.8437919863887293
The Valmont Club,51.484337,-0.184293,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.484337, -0.184293]}}","266-266A Fulham Rd (Redcliffe Gardens), Kensington, Greater London, SW10 9EL",Night Club,4.157414383916223
